current_path	target_path	responsibility	role	decision	rationale
(new)	tests/test_gui_qualification_cleanup_contract.py	tests	Qualification failure cleanup regression tests	add	Ensures worker cancellation, widget destruction and dialog restoration after errors
.gitattributes	.gitattributes	repository metadata	Repository text/binary handling	retain	Distinct maintained contract; no relocation benefit
.github/ISSUE_TEMPLATE/bug_report.md	.github/ISSUE_TEMPLATE/bug_report.md	repository metadata	Public issue intake template: bug_report	retain	Keeps reproducible bug reports and feature requests discoverable
.github/ISSUE_TEMPLATE/feature_request.md	.github/ISSUE_TEMPLATE/feature_request.md	repository metadata	Public issue intake template: feature_request	retain	Keeps reproducible bug reports and feature requests discoverable
.github/workflows/macos-cli-ci.yml	.github/workflows/macos-cli-ci.yml	build/release	Native target CI: macos-cli-ci	retain	Separate target-host evidence; workflow presence does not confer qualification
.github/workflows/ubuntu-cli-ci.yml	.github/workflows/ubuntu-cli-ci.yml	build/release	Native target CI: ubuntu-cli-ci	retain	Separate target-host evidence; workflow presence does not confer qualification
.github/workflows/windows-ci.yml	.github/workflows/windows-ci.yml	build/release	Native target CI: windows-ci	retain	Separate target-host evidence; workflow presence does not confer qualification
.gitignore	.gitignore	repository metadata	Generated and local artifact exclusions	retain	Distinct maintained contract; no relocation benefit
CITATION.cff	CITATION.cff	repository metadata	Machine-readable software citation and current version identity	retain	Distinct maintained contract; no relocation benefit
CONTRIBUTING.md	CONTRIBUTING.md	repository metadata	Contributor and issue-reporting expectations	retain	Distinct maintained contract; no relocation benefit
COPYING	COPYING	repository metadata	Current project GPL v2 license; distinct from component licenses and license history	retain	Distinct maintained contract; no relocation benefit
CORRESPONDING_SOURCE.md	CORRESPONDING_SOURCE.md	repository metadata	Release corresponding-source obligations and reconstruction instructions	retain	Distinct maintained contract; no relocation benefit
MANIFEST.in	MANIFEST.in	build/release	Source-distribution inclusion rules for native, resource and license inputs	retain	Distinct maintained contract; no relocation benefit
Makefile	Makefile	build/release	Ubuntu transactional source-install and verification command entry	retain	Distinct maintained contract; no relocation benefit
README.md	README.md	repository metadata	Laboratory-user landing page and primary Windows download route	retain	Distinct maintained contract; no relocation benefit
THIRD_PARTY_NOTICES.md	THIRD_PARTY_NOTICES.md	repository metadata	Component attribution and licensing; does not replace component licenses	retain	Distinct maintained contract; no relocation benefit
analyzed_run_archive.py	analyzed_run_archive.py	application	Typed analyzed-run archive serialization, validation and legacy import	retain	Retain stable imports, CLI/GUI entry points and provenance consumers; no parallel implementation
app_assets.py	app_assets.py	application	Runtime GUI resource resolution for source, installed and frozen layouts	retain	Retain stable imports, CLI/GUI entry points and provenance consumers; no parallel implementation
assets/fonts/CascadiaMono.ttf	assets/fonts/CascadiaMono.ttf	resources	Canonical GUI asset, generator or font license/configuration: CascadiaMono.ttf	retain	One source tree; wheel/frozen copies are generated distribution outputs, not second editable sources
assets/fonts/OFL.txt	assets/fonts/OFL.txt	resources	Canonical GUI asset, generator or font license/configuration: OFL.txt	retain	One source tree; wheel/frozen copies are generated distribution outputs, not second editable sources
assets/fonts/SOURCE.txt	assets/fonts/SOURCE.txt	resources	Canonical GUI asset, generator or font license/configuration: SOURCE.txt	retain	One source tree; wheel/frozen copies are generated distribution outputs, not second editable sources
assets/fonts/linux-fonts.conf	assets/fonts/linux-fonts.conf	resources	Canonical GUI asset, generator or font license/configuration: linux-fonts.conf	retain	One source tree; wheel/frozen copies are generated distribution outputs, not second editable sources
